year,ACCESS-CM2,BCC-CSM2-MR,CanESM5,CNRM-CM6-1,CMCC-CM2-SR5,CMCC-ESM2,EC-Earth3_r1i1p1f1,EC-Earth3_r3i1p1f1,EC-Earth3_r4i1p1f1,GFDL-ESM4,HadGEM3-GC31-LL,KACE-1-0-G,MIROC6,MIROC-ES2L,MPI-ESM1-2-HR_r1i1p1f1,MPI-ESM1-2-HR_r2i1p1f1,MPI-ESM1-2-LR,HadGEM3-GC31-MM,KIOST-ESM,MRI-ESM2-0
1850,0.215027911,-0.33947053,-0.05443367,0.121494933,-0.113644611,-0.047758296,0.232518463,-0.140022163,-0.417175285,-0.003322796,0.186751481,-0.255062459,-0.031124948,-0.022207459,-0.107117352,0.033456144,-0.105054637,0.201056678,0.378085804,0.083925204
1851,0.224518811,-0.29318983,-0.05443367,0.121494933,-0.059087711,0.055721104,0.333681963,-0.182834863,-0.368575885,-0.089533996,0.229758981,-0.286816159,-0.069409348,0.137767941,-0.083663252,-0.028858056,-0.122654437,0.262431778,0.299667604,0.135632004
1852,0.382076511,-0.12632853,-0.01029857,0.094145133,-0.192549411,-0.045890996,0.386409563,-0.141679363,-0.349337685,0.120640904,0.309870381,-0.235835459,-0.046233048,0.061413841,0.109664548,-0.053507156,-0.115691237,0.155317478,0.230157404,0.055201104
1853,0.278482011,-0.19835713,-0.04679707,0.111114133,0.088987589,-0.065811596,0.203153663,-0.149874863,-0.370555985,0.167360804,0.191251381,-0.189606159,0.006256252,-0.122836859,0.216437648,-0.027546956,0.234114763,0.053189378,0.123589604,-0.049733196
1854,0.348692911,-0.14155933,-0.06733777,0.114538533,0.042198789,-0.045420796,0.148836363,-0.255330263,-0.518285585,-0.044743596,0.031231381,-0.271105059,0.271274452,-0.108319759,-0.078615552,0.075244844,0.097341863,0.220424178,-0.038615096,-0.089034096
1855,0.119767811,-0.28140583,0.07781543,0.094528633,0.042194489,0.098575004,0.206070663,-0.120364463,-0.419606685,-0.119752996,0.267434481,-0.202478059,0.375006552,0.126773041,-0.106197052,0.135435844,-0.047148937,0.234713078,0.170065004,0.091960604
1856,0.148782011,-0.22937143,0.12181563,0.120366533,0.133140189,0.157130704,0.386868363,-0.115168863,-0.400996385,0.106256704,0.371352181,-0.189278859,-0.091154348,0.109172741,-0.107980552,0.135482544,-0.111403537,0.202339478,0.087304704,0.089024204
1857,0.209011211,-0.06828873,-0.02222697,0.270139633,0.160113589,0.046506904,0.345501163,-0.141896063,-0.323173985,0.155745104,0.347954181,-0.190386059,-0.046277248,0.159998841,-0.102894452,0.035878244,-0.032219837,0.204101078,-0.313193196,0.018712904
1858,0.125451711,-0.15459973,-0.10550827,0.237666533,0.111288889,0.041475604,0.269576763,-0.033809963,-0.461847685,-0.003326496,0.267200481,-0.228402159,-0.002105448,0.081007041,-0.075107352,-0.145871756,-0.044529337,0.273302278,-0.177470996,0.000407604
1859,0.236822811,0.01033327,0.06490953,0.180707233,0.030115989,0.127930304,0.265430563,-0.029677563,-0.408652185,0.046010404,0.288395681,-0.138214459,0.133446352,0.056415141,-0.200170152,-0.201781956,0.005985363,0.320118578,-0.223936496,0.171483204
